,NAME,OWNERSHIP,LOCATION,ALIAS_NAME
693,BANKERS HILL CANYON OS,City of San Diego,,Bankers Hill Canyon Open Space
694,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
695,SWITZER OS,City of San Diego,,Switzer Open Space
696,ENCANTO EXPRESSWAY OS,City of San Diego,,Encanto Expressway Open Space
697,LA ZANJA CANYON OS,City of San Diego,,La Zanja Canyon Open Space
698,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
699,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
700,SWITZER OS,City of San Diego,,Switzer Open Space
701,SABRE SPRINGS OS,City of San Diego,,Sabre Springs Open Space
702,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
703,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
704,RANCHO PENASQUITOS OS,City of San Diego,,Rancho Penasquitos Open Space
705,ALBATROSS CANYON OS,City of San Diego,,Albatross Canyon Open Space
706,MAPLE CANYON OS,City of San Diego,,Maple Canyon Open Space
707,TECOLOTE CANYON NATURAL OS PARK,City of San Diego,,Tecolote Canyon Natural Open Space Park
708,CARMEL GROVE NP,City of San Diego,"3799 Carmel View Road,",Carmel Grove Park
709,CARMEL VALLEY NP,City of San Diego,"4468 CARMEL CENTER RD, 92130",Carmel Valley Park
710,ASHLEY FALLS NP,City of San Diego,"13030 Ashley Falls Drive., 92130",Ashley Falls Park
711,CARMEL CREEK NP,City of San Diego,"4260 Carmel Center Road, 92103",Carmel Creek Park
712,CARMEL VALLEY CVREP,City of San Diego,,Carmel Valley Cvrep
713,MISSION VALLEY PRESERVE,City of San Diego,,Mission Valley Preserve
714,34TH ST CANYON OS,City of San Diego,,34th St Canyon Open Space
715,SWITZER OS,City of San Diego,,Switzer Open Space
716,CARMEL VALLEY CVREP,City of San Diego,,Carmel Valley Cvrep
717,MARIAN BEAR OS PARK,City of San Diego,,Marian Bear Open Space Park
718,SCRIPPS MIRAMAR OS,City of San Diego,,Scripps Miramar Open Space
719,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
720,WEISS MANDELL EASTGT NP,City of San Diego,"4202 EXECUTIVE DR, 92037",Weiss Mandell Eastgt Park
